frame,tiempo_s,x,y,radio
0,0.0,617,163,46
1,0.033336065573770494,610,173,46
2,0.06667213114754099,589,189,52
3,0.10000819672131148,562,226,53
4,0.13334426229508198,513,253,54
5,0.16668032786885245,450,277,53
6,0.20001639344262295,384,277,51
7,0.23335245901639345,326,263,48
8,0.26668852459016396,284,235,49
9,0.3000245901639344,254,215,48
10,0.3333606557377049,244,192,49
11,0.3666967213114754,243,193,50
12,0.4000327868852459,255,217,50
13,0.4333688524590164,282,248,54
14,0.4667049180327869,334,270,53
15,0.5000409836065574,396,283,52
16,0.5333770491803279,457,283,50
17,0.5667131147540984,510,269,49
18,0.6000491803278688,550,247,47
19,0.6333852459016394,574,228,44
20,0.6667213114754098,584,214,41
21,0.7000573770491804,583,214,42
22,0.7333934426229508,571,231,47
23,0.7667295081967213,544,253,49
24,0.8000655737704918,501,273,51
25,0.8334016393442623,446,285,50
26,0.8667377049180328,389,285,50
27,0.9000737704918033,339,277,48
28,0.9334098360655738,300,259,46
29,0.9667459016393443,276,240,47
30,1.0000819672131147,265,232,44
31,1.0334180327868852,267,234,45
32,1.0667540983606558,281,249,49
33,1.1000901639344263,312,267,51
34,1.1334262295081967,358,283,51
35,1.1667622950819672,411,291,50
36,1.2000983606557376,464,285,49
37,1.2334344262295083,509,269,46
38,1.2667704918032787,541,255,44
39,1.3001065573770492,559,240,42
40,1.3334426229508196,566,233,39
41,1.36677868852459,561,238,43
42,1.4001147540983607,543,251,46
43,1.4334508196721312,514,270,49
44,1.4667868852459016,471,281,49
45,1.500122950819672,423,290,49
46,1.5334590163934425,378,288,48
47,1.5667950819672132,337,276,47
48,1.6001311475409836,308,260,46
49,1.633467213114754,289,248,45
50,1.6668032786885245,283,244,43
51,1.700139344262295,288,250,46
52,1.7334754098360656,307,263,49
53,1.766811475409836,344,275,50
54,1.8001475409836065,387,284,50
55,1.833483606557377,434,286,49
56,1.8668196721311476,477,276,46
57,1.900155737704918,511,263,45
58,1.9334918032786885,535,251,43
59,1.966827868852459,547,243,41
60,2.0001639344262294,546,243,42
61,2.0335,535,251,44
62,2.0668360655737703,510,263,47
63,2.100172131147541,477,276,48
64,2.1335081967213116,437,285,48
65,2.166844262295082,395,285,48
66,2.2001803278688525,356,279,47
67,2.2335163934426228,325,269,45
68,2.2668524590163934,306,260,44
69,2.300188524590164,298,255,43
70,2.3335245901639343,300,258,44
71,2.366860655737705,317,265,47
72,2.400196721311475,345,275,48
73,2.433532786885246,378,287,48
74,2.4668688524590165,418,288,47
75,2.5002049180327868,455,283,46
76,2.5335409836065574,486,274,44
77,2.5668770491803277,508,265,42
78,2.6002131147540983,520,257,41
79,2.633549180327869,524,256,40
80,2.6668852459016392,517,262,43
81,2.70022131147541,501,271,45
82,2.73355737704918,473,278,46
83,2.766893442622951,439,284,47
84,2.8002295081967215,403,289,47
85,2.8335655737704917,368,285,46
86,2.8669016393442623,340,277,45
87,2.9002377049180326,322,271,44
88,2.9335737704918032,313,266,42
89,2.966909836065574,315,267,43
90,3.000245901639344,327,273,46
91,3.033581967213115,349,279,47
92,3.066918032786885,379,287,47
93,3.1002540983606557,415,284,47
94,3.1335901639344264,447,282,45
95,3.1669262295081966,474,276,44
96,3.2002622950819672,495,269,42
97,3.2335983606557375,504,263,40
98,3.266934426229508,506,261,40
99,3.300270491803279,500,265,42
100,3.333606557377049,484,270,44
101,3.3669426229508197,461,278,46
102,3.40027868852459,431,284,47
103,3.4336147540983606,401,285,46
104,3.4669508196721313,372,283,45
105,3.5002868852459015,349,278,44
106,3.533622950819672,333,273,44
107,3.5669590163934424,325,270,42
108,3.600295081967213,326,272,42
109,3.6336311475409837,337,277,45
110,3.666967213114754,357,281,46
111,3.7003032786885246,383,284,46
112,3.7336393442622953,412,284,45
113,3.7669754098360655,440,282,44
114,3.800311475409836,464,276,43
115,3.8336475409836064,481,273,42
116,3.866983606557377,491,270,40
117,3.9003196721311477,493,269,39
118,3.933655737704918,486,274,42
119,3.9669918032786886,471,277,43
120,4.000327868852459,450,282,44
121,4.0336639344262295,426,286,45
122,4.067,400,286,45
123,4.100336065573771,376,284,44
124,4.133672131147541,357,279,44
125,4.167008196721311,344,277,43
126,4.200344262295082,340,275,41
127,4.233680327868853,342,277,42
128,4.267016393442623,353,280,44
129,4.300352459016393,372,282,45
130,4.333688524590164,393,285,45
131,4.367024590163934,416,285,44
132,4.400360655737705,438,281,44
133,4.433696721311476,457,279,43
134,4.4670327868852455,471,275,41
135,4.500368852459016,478,273,40
136,4.533704918032787,478,273,40
137,4.5670409836065575,472,277,42
138,4.600377049180328,458,278,43
139,4.633713114754098,438,281,44
140,4.667049180327869,417,284,44
141,4.700385245901639,396,285,44
142,4.73372131147541,377,283,43
143,4.767057377049181,362,280,43
144,4.80039344262295,354,278,42
145,4.833729508196721,352,278,41
146,4.867065573770492,357,280,42
147,4.900401639344262,367,283,43
148,4.933737704918033,382,284,43
149,4.967073770491803,399,285,43
150,5.0004098360655735,417,282,43
151,5.033745901639344,433,280,42
152,5.067081967213115,446,275,41
153,5.1004180327868855,454,273,40
154,5.133754098360655,456,271,40
155,5.167090163934426,452,273,41
156,5.200426229508197,444,276,42
157,5.233762295081967,429,278,43
158,5.267098360655738,413,281,43
159,5.300434426229508,396,283,43
160,5.3337704918032784,379,280,43
161,5.367106557377049,367,279,42
162,5.40044262295082,358,277,42
163,5.4337786885245905,354,275,41
164,5.46711475409836,356,276,41
165,5.500450819672131,363,278,43
166,5.533786885245902,376,279,43
167,5.567122950819672,391,280,43
168,5.600459016393443,407,280,43
169,5.633795081967213,421,279,43
170,5.667131147540983,433,277,42
171,5.700467213114754,442,276,41
172,5.733803278688525,447,275,40
173,5.767139344262295,445,275,40
174,5.800475409836065,439,275,41
175,5.833811475409836,429,278,41
176,5.8671475409836065,415,280,42
177,5.900483606557377,400,282,43
178,5.933819672131148,384,282,43
179,5.967155737704918,368,281,43
180,6.000491803278688,357,280,43
181,6.033827868852459,352,279,41
182,6.06716393442623,352,278,41
183,6.1005,359,279,42
184,6.13383606557377,367,281,43
185,6.167172131147541,379,280,43
